TimeCreated,EventID,Account,SourceIP,TargetAccount,ProcessName,CommandLine,Message
2026-06-15 08:05:00,4624,jsmith,192.168.10.21,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.21"
2026-06-15 08:05:00,4624,amartinez,192.168.10.22,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.22"
2026-06-15 08:05:00,4624,rwilliams,192.168.10.23,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.23"
2026-06-15 08:05:00,4624,ktaylor,192.168.10.24,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.24"
2026-06-15 09:05:00,4624,jsmith,192.168.10.25,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.25"
2026-06-15 09:05:00,4624,amartinez,192.168.10.26,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.26"
2026-06-15 09:05:00,4624,rwilliams,192.168.10.27,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.27"
2026-06-15 09:05:00,4624,ktaylor,192.168.10.28,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.28"
2026-06-15 10:05:00,4624,jsmith,192.168.10.29,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.29"
2026-06-15 10:05:00,4624,amartinez,192.168.10.30,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.30"
2026-06-15 10:05:00,4624,rwilliams,192.168.10.31,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.31"
2026-06-15 10:05:00,4624,ktaylor,192.168.10.32,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.32"
2026-06-15 11:05:00,4624,jsmith,192.168.10.33,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.33"
2026-06-15 11:05:00,4624,amartinez,192.168.10.34,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.34"
2026-06-15 11:05:00,4624,rwilliams,192.168.10.35,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.35"
2026-06-15 11:05:00,4624,ktaylor,192.168.10.36,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.36"
2026-06-15 13:05:00,4624,jsmith,192.168.10.37,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.37"
2026-06-15 13:05:00,4624,amartinez,192.168.10.38,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.38"
2026-06-15 13:05:00,4624,rwilliams,192.168.10.39,,,,"An account was successfully logged on. Account: rwilliams, Source IP: 192.168.10.39"
2026-06-15 13:05:00,4624,ktaylor,192.168.10.40,,,,"An account was successfully logged on. Account: ktaylor, Source IP: 192.168.10.40"
2026-06-15 14:05:00,4624,jsmith,192.168.10.41,,,,"An account was successfully logged on. Account: jsmith, Source IP: 192.168.10.41"
2026-06-15 14:05:00,4624,amartinez,192.168.10.42,,,,"An account was successfully logged on. Account: amartinez, Source IP: 192.168.10.42"
